[2084.81248364, 6393.83678565]
[2483.87361137, 6421.22686293]
[2704.18029738, 6087.36317203]
[3054.43246209, 6280.55587665]
[3454.33168032, 6271.57727619]
[3736.12513209, 5987.68918109]
[4829.92537775, 6278.13147511]
[4829.92537775, 6278.13147511]
[5191.11410127, 6450.0113925]
[5556.35726896, 6613.09857303]
[6377.77520053, 7252.70358574]
