[1121.0, -1933.0]
[1121.0, -1433.0]
[1121.0, -933.0]
[1121.0, -433.0]
[1121.0, 66.0]
[1121.0, 566.0]
[1121.0, 1066.0]
[1121.0, 1566.0]
[1121.0, 2066.0]
[1121.0, 2566.0]
[1121.0, 3066.0]
[1121.0, 3566.0]
[1121.0, 4066.0]
[1121.0, 4566.0]
[1121.0, 5066.0]
[1121.0, 5566.0]
[621.0, 5566.0]
[621.0, 5066.0]
[621.0, 4566.0]
[621.0, 4066.0]
[621.0, 3566.0]
[621.0, 3066.0]
[621.0, 2566.0]
[621.0, 2066.0]
[621.0, 1566.0]
[621.0, 1066.0]
[621.0, 566.0]
[621.0, 66.0]
[621.0, -433.0]
[621.0, -933.0]
[621.0, -1433.0]
[621.0, -1933.0]
[621.0, -2433.0]
[621.0, -2933.0]
[621.0, -2433.0]
[621.0, -2433.0]
[121.0, -2433.0]
[121.0, -1933.0]
[121.0, -1433.0]
[121.0, -933.0]
[121.0, -433.0]
[121.0, 66.0]
[121.0, 566.0]
[121.0, 1066.0]
[121.0, 1566.0]
[121.0, 2066.0]
[121.0, 2566.0]
[121.0, 3066.0]
[121.0, 3566.0]
[121.0, 4066.0]
[121.0, 4566.0]
[121.0, 5066.0]
[121.0, 5566.0]
[-378.0, 5566.0]
[-378.0, 5066.0]
[-378.0, 4566.0]
[-378.0, 4066.0]
[-378.0, 3566.0]
[-378.0, 3066.0]
[-378.0, 2566.0]
[-378.0, 2066.0]
[-378.0, 1566.0]
[-378.0, 1066.0]
[-378.0, 566.0]
[-378.0, 66.0]
[-378.0, -433.0]
[-378.0, -933.0]
[-378.0, -1433.0]
[-378.0, -1933.0]
[-378.0, -1433.0]
[-378.0, -1433.0]
[-878.0, -1433.0]
[-878.0, -933.0]
[-878.0, -433.0]
[-878.0, 66.0]
[-878.0, 566.0]
[-878.0, 1066.0]
[-878.0, 1566.0]
[-878.0, 2066.0]
[-878.0, 2566.0]
[-878.0, 3066.0]
[-878.0, 3566.0]
[-878.0, 4066.0]
[-878.0, 4566.0]
[-878.0, 5066.0]
[-878.0, 5566.0]
[-1378.0, 5566.0]
[-1378.0, 5066.0]
[-1378.0, 4566.0]
[-1378.0, 4066.0]
[-1378.0, 3566.0]
[-1378.0, 3066.0]
[-1378.0, 2566.0]
[-1378.0, 2066.0]
[-1378.0, 1566.0]
[-1378.0, 1066.0]
[-1378.0, 566.0]
[-1378.0, 66.0]
[-1378.0, -433.0]
[-1378.0, -933.0]
[-1378.0, -1433.0]
[-1378.0, -1933.0]
[-1378.0, -2433.0]
[-1878.0, -2433.0]
[-1878.0, -2933.0]
[-2378.0, -2933.0]
[-2378.0, -3433.0]
[-2878.0, -3433.0]
[-2878.0, -3933.0]
[-2878.0, -4433.0]
[-3378.0, -4433.0]
[-3378.0, -4933.0]
[-3878.0, -4933.0]
[-3878.0, -5433.0]
[-3878.0, -5933.0]
[-3878.0, -6433.0]
[-3878.0, -6933.0]
[-3878.0, -7433.0]
[-3878.0, -7933.0]
[-3878.0, -8433.0]
[-3878.0, -8933.0]
[-3878.0, -9433.0]
[-3878.0, -9933.0]
[-3878.0, -10433.0]
[-3878.0, -10933.0]
[-3878.0, -11433.0]
[-3878.0, -11933.0]
[-3878.0, -12433.0]
[-3878.0, -12933.0]
[-3878.0, -13433.0]
[-3378.0, -13433.0]
[-2878.0, -13433.0]
[-2378.0, -13433.0]
[-1878.0, -13433.0]
[-1378.0, -13433.0]
[-878.0, -13433.0]
[-378.0, -13433.0]
[121.0, -13433.0]
[621.0, -13433.0]
[621.0, -12933.0]
[621.0, -12433.0]
[621.0, -11933.0]
[621.0, -11433.0]
[621.0, -10933.0]
[621.0, -10433.0]
[621.0, -9933.0]
[621.0, -9433.0]
[621.0, -8933.0]
[621.0, -8433.0]
[621.0, -7933.0]
[621.0, -7433.0]
[621.0, -6933.0]
[621.0, -6433.0]
[621.0, -5933.0]
[621.0, -5433.0]
[621.0, -4933.0]
[621.0, -4433.0]
[621.0, -3933.0]
[621.0, -4433.0]
[621.0, -4433.0]
[121.0, -4433.0]
[121.0, -4933.0]
[121.0, -5433.0]
[121.0, -5933.0]
[121.0, -6433.0]
[121.0, -6933.0]
[121.0, -7433.0]
[121.0, -7933.0]
[121.0, -8433.0]
[121.0, -8933.0]
[121.0, -9433.0]
[121.0, -9933.0]
[121.0, -10433.0]
[121.0, -10933.0]
[121.0, -11433.0]
[121.0, -11933.0]
[121.0, -12433.0]
[121.0, -12933.0]
[-378.0, -12933.0]
[-378.0, -12433.0]
[-378.0, -11933.0]
[-378.0, -11433.0]
[-378.0, -10933.0]
[-378.0, -10433.0]
[-378.0, -9933.0]
[-378.0, -9433.0]
[-378.0, -8933.0]
[-378.0, -8433.0]
[-378.0, -7933.0]
[-378.0, -7433.0]
[-378.0, -6933.0]
[-378.0, -6433.0]
[-378.0, -5933.0]
[-378.0, -5433.0]
[-378.0, -5933.0]
[-378.0, -5933.0]
[-878.0, -5933.0]
[-878.0, -6433.0]
[-878.0, -6933.0]
[-878.0, -7433.0]
[-878.0, -7933.0]
[-878.0, -8433.0]
[-878.0, -8933.0]
[-878.0, -9433.0]
[-878.0, -9933.0]
[-878.0, -10433.0]
[-878.0, -10933.0]
[-878.0, -11433.0]
[-878.0, -11933.0]
[-878.0, -12433.0]
[-878.0, -12933.0]
[-1378.0, -12933.0]
[-1378.0, -12433.0]
[-1378.0, -11933.0]
[-1378.0, -11433.0]
[-1378.0, -10933.0]
[-1378.0, -10433.0]
[-1378.0, -9933.0]
[-1378.0, -9433.0]
[-1378.0, -8933.0]
[-1378.0, -8433.0]
[-1378.0, -7933.0]
[-1378.0, -7433.0]
[-1378.0, -6933.0]
[-1378.0, -6433.0]
[-1378.0, -6933.0]
[-1378.0, -6933.0]
[-1878.0, -6933.0]
[-1878.0, -7433.0]
[-1878.0, -7933.0]
[-1878.0, -8433.0]
[-1878.0, -8933.0]
[-1878.0, -9433.0]
[-1878.0, -9933.0]
[-1878.0, -10433.0]
[-1878.0, -10933.0]
[-1878.0, -11433.0]
[-1878.0, -11933.0]
[-1878.0, -12433.0]
[-1878.0, -12933.0]
[-2378.0, -12933.0]
[-2378.0, -12433.0]
[-2378.0, -11933.0]
[-2378.0, -11433.0]
[-2378.0, -10933.0]
[-2378.0, -10433.0]
[-2378.0, -9933.0]
[-2378.0, -9433.0]
[-2378.0, -8933.0]
[-2378.0, -8433.0]
[-2378.0, -7933.0]
[-2378.0, -7433.0]
[-2878.0, -7433.0]
[-2878.0, -7933.0]
[-2878.0, -8433.0]
[-2878.0, -8933.0]
[-2878.0, -9433.0]
[-2878.0, -9933.0]
[-2878.0, -10433.0]
[-2878.0, -10933.0]
[-2878.0, -11433.0]
[-2878.0, -11933.0]
[-2878.0, -12433.0]
[-2878.0, -12933.0]
[-3378.0, -12933.0]
[-3378.0, -12433.0]
[-3378.0, -11933.0]
[-3378.0, -11433.0]
[-3378.0, -10933.0]
[-3378.0, -10433.0]
[-3378.0, -9933.0]
[-3378.0, -9433.0]
[-3378.0, -8933.0]
[-3378.0, -8433.0]
[-3378.0, -7933.0]
[-3378.0, -7433.0]
[-3378.0, -6933.0]
[-3878.0, -6933.0]
[-3878.0, -6433.0]
[-3878.0, -5933.0]
[-3878.0, -5433.0]
[-3878.0, -4933.0]
[-3878.0, -4933.0]
[-3878.0, -4433.0]
[-3878.0, -3933.0]
[-3378.0, -3933.0]
[-3378.0, -3433.0]
[-3378.0, -2933.0]
[-2878.0, -2933.0]
[-2878.0, -2433.0]
[-2378.0, -2433.0]
[-2378.0, -1933.0]
[-1878.0, -1933.0]
[-1878.0, -1433.0]
[-1878.0, -933.0]
[-1878.0, -433.0]
[-1878.0, 66.0]
[-1878.0, 566.0]
[-1878.0, 1066.0]
[-1878.0, 1566.0]
[-1878.0, 2066.0]
[-1878.0, 2566.0]
[-1878.0, 3066.0]
[-1878.0, 3566.0]
[-1878.0, 4066.0]
[-1878.0, 4566.0]
[-1878.0, 5066.0]
[-1878.0, 5566.0]
[-2378.0, 5566.0]
[-2378.0, 5066.0]
[-2378.0, 4566.0]
[-2378.0, 4066.0]
[-2378.0, 3566.0]
[-2378.0, 3066.0]
[-2378.0, 2566.0]
[-2378.0, 2066.0]
[-2378.0, 1566.0]
[-2378.0, 1066.0]
[-2378.0, 566.0]
[-2378.0, 66.0]
[-2378.0, -433.0]
[-2378.0, -933.0]
[-2378.0, -1433.0]
[-2878.0, -1433.0]
[-2878.0, -1933.0]
[-3378.0, -1933.0]
[-3378.0, -2433.0]
[-3878.0, -2433.0]
[-3878.0, -2933.0]
[-3878.0, -3433.0]
[-3878.0, -2933.0]
[-3878.0, -2433.0]
[-3878.0, -2433.0]
[-3878.0, -1933.0]
[-3878.0, -1433.0]
[-3378.0, -1433.0]
[-3378.0, -933.0]
[-2878.0, -933.0]
[-2878.0, -433.0]
[-2878.0, 66.0]
[-2878.0, 566.0]
[-2878.0, 1066.0]
[-2878.0, 1566.0]
[-2878.0, 2066.0]
[-2878.0, 2566.0]
[-2878.0, 3066.0]
[-2878.0, 3566.0]
[-2878.0, 4066.0]
[-2878.0, 4566.0]
[-2878.0, 5066.0]
[-2878.0, 5566.0]
[-3378.0, 5566.0]
[-3378.0, 5066.0]
[-3378.0, 4566.0]
[-3378.0, 4066.0]
[-3378.0, 3566.0]
[-3378.0, 3066.0]
[-3378.0, 2566.0]
[-3378.0, 2066.0]
[-3378.0, 1566.0]
[-3378.0, 1066.0]
[-3378.0, 566.0]
[-3378.0, 66.0]
[-3378.0, -433.0]
[-3878.0, -433.0]
[-3878.0, -933.0]
[-3878.0, -433.0]
[-3878.0, -433.0]
[-3878.0, 66.0]
[-3878.0, 566.0]
[-3878.0, 1066.0]
[-3878.0, 1566.0]
[-3878.0, 2066.0]
[-3878.0, 2566.0]
[-3878.0, 3066.0]
[-3878.0, 3566.0]
[-3878.0, 4066.0]
[-3878.0, 4566.0]
[-3878.0, 5066.0]
[-3878.0, 5566.0]
[-3878.0, 5566.0]
[-3483.75421708, 5633.60371771]
[-3218.25303995, 5334.4229614]
[-2824.69651918, 5262.91586413]
[-2588.32715316, 5585.60692816]
[-2376.25704452, 5924.76215666]
[-1979.26388637, 5875.8087872]
[-1582.97703201, 5930.1846004]
[-1192.40323234, 6016.51018767]
[-828.603828122, 5850.22731577]
[-464.900865552, 6016.72102442]
[-82.8977547941, 6135.35332765]
[307.497899019, 6222.4810126]
[690.601920845, 6337.50843742]
[1090.6018857, 6337.67611841]
[1487.6953148, 6289.54288076]
[1886.87606766, 6263.95525596]
[2286.4928451, 6281.46043202]
[2532.12214444, 6597.16004764]
[2917.4701226, 6489.88966158]
[3317.11608543, 6473.06395506]
[3684.5009345, 6631.26753489]
[4829.92537775, 6278.13147511]
[4829.92537775, 6278.13147511]
[4839.98365916, 6678.00499383]
[5194.94798514, 6862.39677043]
[6377.77520053, 7252.70358574]
