[-2878.0, 5566.0]
[-3378.0, 5566.0]
[-3378.0, 5066.0]
[-3378.0, 4566.0]
[-3378.0, 4066.0]
[-3378.0, 3566.0]
[-3378.0, 3066.0]
[-3378.0, 2566.0]
[-3378.0, 2066.0]
[-3378.0, 1566.0]
[-3378.0, 1066.0]
[-3378.0, 566.0]
[-3378.0, 66.0]
[-3378.0, -433.0]
[-3878.0, -433.0]
[-3878.0, -933.0]
[-3878.0, -433.0]
[-3878.0, -433.0]
[-3878.0, 66.0]
[-3878.0, 566.0]
[-3878.0, 1066.0]
[-3878.0, 1566.0]
[-3878.0, 2066.0]
[-3878.0, 2566.0]
[-3878.0, 3066.0]
[-3878.0, 3566.0]
[-3878.0, 4066.0]
[-3878.0, 4566.0]
[-3878.0, 5066.0]
[-3878.0, 5566.0]
[-3878.0, 5566.0]
[-3478.94330062, 5593.4545202]
[-3085.24818299, 5664.19456796]
[-2687.33389729, 5704.98943572]
[-2388.82697718, 5438.73087973]
[-2181.94989807, 5096.38328715]
[-1866.45971886, 5342.28153201]
[-1470.68655365, 5400.27809829]
[-1294.49483391, 5759.38320531]
[-894.558269648, 5766.50672723]
[-496.891638809, 5809.64894226]
[-98.0196519693, 5839.66790484]
[301.912686603, 5847.02484468]
[644.260445208, 6053.90164903]
[769.459298236, 6433.80327735]
[1101.86402038, 6656.30518901]
[1496.21482758, 6723.29355269]
[1822.8652752, 6492.4267403]
[2213.65261362, 6407.07302841]
[2524.2202027, 6659.15986388]
[2911.58119903, 6559.40286651]
[3311.42350981, 6570.63347235]
[3654.49613314, 6776.30596716]
[4829.92537775, 6278.13147511]
[4829.92537775, 6278.13147511]
[4839.98365916, 6678.00499383]
[5194.94798514, 6862.39677043]
[6377.77520053, 7252.70358574]
