[2187.17431668, 5397.12360734]
[2367.00783491, 5039.82834329]
[2715.06064177, 5236.95582397]
[3081.81687985, 5396.61127118]
[3391.4954608, 5649.78942289]
[3726.80175299, 5867.89419226]
[4829.92537775, 6278.13147511]
[4829.92537775, 6278.13147511]
[5191.11410127, 6450.0113925]
[5556.35726896, 6613.09857303]
[6377.77520053, 7252.70358574]
